,No.,Creator,Label,Question,Answer,Question_Encoded
67,68,Thiện,CN,Cho em biết ngành kĩ thuật phần mềm là gì vậy ạ ?,"Ngành kĩ thuật phần mềm (Software Engineering) là lĩnh vực nghiên cứu, thiết kế, phát triển và quản lý các phần mềm và hệ thống phần mềm. Nó tập trung vào việc áp dụng nguyên tắc và phương pháp kỹ thuật để tạo ra các phần mềm chất lượng, hiệu quả và đáng tin cậy.",25
68,69,Thiện,CN,Định hướng đào tạo của FPT đối với ngành kĩ thuật phần mềm là gì vậy ạ ?,"Tốt nghiệp ngành Kỹ thuật phần mềm, sinh viên làm việc liên quan đến công nghệ phần mềm ở đa dạng các lĩnh vực: lập trình - xây dựng, giải pháp, phân tích, kiểm thử, quản lý chất lượng... phần mềm nói riêng và ứng dụng Công nghệ thông tin vào vận hành doanh nghiệp nói Chung. 
Hiện tại, sinh viên Đại học FPT đã và đang làm việc tại Mỹ, Đức, Nhật Bản, Singapore – những thị trường Công nghệ Thông tin hàng đầu của thế giới.",937
69,70,Thiện,CN,Sau khi tốt nghiệp ngành kĩ thuật phần mềm em sẽ làm gì ạ ?,"- Giám đốc kỹ thuật

- Quản lý dự án (PM)

- Lập trình viên (Coder)

- Kỹ sư cầu nối (BrSE)

- Kiểm thử phần mềm (Tester)

- Kỹ sư đảm bảo chất lượng phần mềm

- Quản lý dự án Công nghệ Thông tin

- Quản lý kỹ thuật

- Quản trị viên dự án phần mềm và CN",594
70,71,Thiện,CN,Cơ hội việc làm của ngành kĩ thuật phần mềm nhiều không ạ ?,Có bạn nha. Định hướng đào tạo tại FPT sẽ giúp bạn phù hợp với đại đa số doanh nghiệp và bạn sẽ được đa số doanh nghiệp chào đón nếu hoàn thành tốt chương trình học tại FPT,329
71,72,Thiện,CN,Chương trình đào tạo ngành kĩ thuật phần mềm có gì khác biệt không ạ ?,"- Chương trình đào tạo thừa hưởng thế mạnh nền tảng công nghệ của Tập đoàn FPT, sinh viên tiếp cận với xu hướng hàng đầu thế giới như Blockchain, AI, Cloud,...
- Sử dụng giáo trình bản quyền quốc tế, xây dựng khung chương trình học dựa trên các chuẩn học thuật - nghề nghiệp (ACM, ABET, VINASA). 
-Môi trường học tập quốc tế: 
  (-) Học kỳ tiếng Anh tại nước ngoài 
  (-) Kỳ học chuyên ngành tại nhiều quốc gia 
- Đồng hành bởi đội ngũ giảng viên là chuyên gia nhiều năm thực chiến trong ngành, tu nghiệp tại các quốc gia có nền giáo dục phát triển nhất thế giới như Anh, Mỹ, Nhật Bản…
- Sinh viên thông thạo 2 ngoại ngữ (Tiếng Anh và Tiếng Nhật), sẵn sàng hội nhập toàn cầu.
- Đào tạo trong doanh nghiệp ngay từ năm 2 chuyên ngành tại 350+ đối tác doanh nghiệp, tích hợp giữa kiến thức và kỹ năng giúp sinh viên nhanh chóng thích nghi với môi trường doanh nghiệp. 
- Đời sống sinh viên phong phú mang đến trải nghiệm sinh viên toàn diện.  ",77
72,73,Thiện,CN,Mô tả sơ về các giai đoạn đào tạo qua các năm ,"- Giai đoạn đầu: Sv sẽ được đào tạo nền tảng. 
- Giai đoạn kế là giai đoạn đào cơ sở ngành. 
- Giai đoạn thứ 3 sẽ là gia đoạn SV được đào tạo trong doanh nghiệp. 
- Giai đoạn cuối các bạn sẽ được đào tạo về chuyên ngành hẹp cùng với đó là khóa luận tốt nghiệp",504
73,74,Thiện,CN,Có ai đã thành công với ngành AI sau khi học tại FPT chưa ?,"Sau đây là một vài những tấm gương thành công của ngành SE tại FPT:

NGUYỄN THẾ VINH
(CSV Đại học FPT, Học bổng 100%, CEO & Co-founder Coin98 Finance, Top 30 Under 30 Châu Á của Forbes)
""Trong xu hướng toàn cầu hoá, khi làm việc với các khách hàng nước ngoài, nếu Tiếng Anh là điều kiện cần, thì kỹ năng giao tiếp là điều kiện đủ để mình thuyết phục đối tác. Tại Đại học FPT, các bán sẽ được trang bị công cụ đắc lực này"".  

ÔNG HOÀNG NAM TIẾN
(Chủ tịch Hội đồng quản trị Công ty TNHH phần mềm FPT (FPT Software))
""Sinh viên Đại học FPT được đánh giá là có kỹ năng chuyên môn sát với nhu cầu thực tế của các doanh nghiệp do các bạn có nhiều cơ hội được cọ xát ngay khi còn đang học. Đặc biệt, chúng tôi đánh giá cao ngoại ngữ và khả năng làm việc nhóm của các bạn"".

PHẠM HUY HOÀNG
(Cựu sinh viên Đại học FPT, Senior Front-end Engineer tại Algomerchant - Singapore, Hot Blogger Tôi đi Code dạo)
“Đại học FPT đã cho mình những kiến thức nền tảng rất quý giá, một môi trường học tập tuyệt vời nơi mình có thể thoải mái cạnh tranh trong học tập. Việc học tài liệu và giáo trình 100% tiếng Anh làm mình phải cố hết sức để phát triển khả năng ngoại ngữ. Điều này giúp mình rất nhiều trong việc đi du học và làm việc nước ngoài sau này”.",123
74,75,Thiện,CN,Các ngôn ngữ lập trình được đào tạo cho ngành kĩ thuật phần mềm tại FPT là gì vậy ạ ?,"FPT sẽ đào tạo cho ngành kĩ thuật phần mềm bằng các ngôn ngữ lập trình như C, Java,...",111
75,76,Thiện,CN,Tại sao có nhiều người quan tâm và lựa chọn ngành Kỹ thuật phần mềm trường Đại học FPT? ,"Chương trình đào tạo khối ngành CN của trường được thiết kế theo chuẩn của Hiệp hội máy tính (Association for Computing Machinery – ACM), chuẩn đào tạo kỹ sư phần mềm của Accreditation Board for Engineering and Technology (ABET – Mỹ), Chương trình đào tạo của EC Council, Học viện Mạng và Phần cứng Jetking (Ấn Độ). Đồng thời, chương trình tích hợp chuẩn kiến thức của Oracle, Cisco. ",784
76,77,Thiện,CN,FPT là tập đoàn lớn vậy điều này có giúp ích gì cho SV khi vào ĐH FPT không ?,"Chắc chắn là có bạn nhá. Với lợi thế là thành viên của Tập đoàn công nghệ FPT, Chương trình đào tạo của trường Đại học FPT thừa hưởng thế mạnh nền tảng công nghệ của Tập đoàn FPT, sinh viên tiếp cận với xu hướng hàng đầu thế giới như Blockchain, AI, Cloud,...",415
77,78,Thiện,CN,Môi trường học tập có tốt không ạ ?,"FPT sẽ đảm bảo môi trường học tập quốc tế cho bạn nha. 100% sinh viên Đại học FPT đều được trải qua học kỳ nước ngoài tại các trường đại học có liên kết với Đại học FPT trên toàn thế giới. Trong danh sách các trường đại học hợp tác với đại học FPT trong học kỳ nước ngoài, có những cái tên nổi bật như đại học Hongkong (xếp thứ 25 trong bảng xếp hạng các trường đại học tốt nhất thế giới năm 2019, top 2 châu Á - QS rankings); đại học Copenhagen - Đan Mạch (xếp thứ 79); đại học Sungkyunkwan - Hàn Quốc (xếp thứ 100); đại học Kyung Hee - Hàn Quốc (xếp thứ 264); đại học Darussalam - Brunei (xếp thứ 323); đại học Shinshu, Viện Công nghệ Kyushu - Nhật Bản (đều thuộc top 1000),… Trường Đại học FPT là một trong những trường tiên phong đưa sinh viên tham gia OJT không chỉ trong nước mà còn ở nước ngoài.",505
78,79,Thiện,CN,Sau khi tốt nghiệp ngoài kĩ năng chuyên môn em còn được những kĩ năng nào nữa ạ ?,"Sau khi tốt nghiệp, sinh viên Trường Đại học FPT đạt trình độ tiếng Anh tương đương IELTS 6.0. Bên cạnh đó, sinh viên còn được trang bị thêm ngoại ngữ thứ hai là tiếng Nhật - một ngôn ngữ phổ biến trên thế giới. Điều này giúp sinh viên Trường Đại học FPT tăng khả năng cạnh tranh trên thị trường lao động quốc tế. ",593
79,80,Thiện,Chung,Cho em hỏi khóa luận tốt nghiệp có mang tính chất thực tế không ạ ?,"Tất cả sinh viên Đại học FPT sẽ tham gia học kỳ 9: Bảo vệ đồ án Tốt nghiệp. 

Đại học FPT liên kết với doanh nghiệp đưa dự án đang triển khai hoặc các bài toán mà doanh nghiệp đang cần giải quyết trở thành đồ án tốt nghiệp cho sinh viên thực hiện. Tại buổi bảo vệ Khóa luận tốt nghiệp của sinh viên Đại học FPT xuất hiện nhiều doanh nghiệp đến để tuyển dụng trực tiếp các ứng viên tiềm năng. 

Thành công từ những đồ án tốt nghiệp của sinh viên là một điểm nhấn đáng chú ý trong chương trình đào tạo của trường Đại học FPT. Có không ít đồ án được doanh nghiệp săn đón ngay sau khi bảo vệ hay trở thành ý tưởng khởi nghiệp của các bạn sinh viên như TopCV, BeanOi…",27
80,81,Thiện,Chung,"Em nghe bảo sinh viên IT sẽ rất khô khan, ngoài việc học chẳng còn hoạt động nào khác đúng không ?","Ở FPT việc này sẽ khác với các môi trường khác như bạn từng biết nha. Không chỉ chú trọng kiến thức chuyên ngành, sinh viên ngành Kỹ thuật phần mềm Trường Đại học FPT còn được trau dồi kỹ năng mềm, kỹ năng giao tiếp, kỹ năng sống, đàm phán, quản lý thời gian, quản lý CN… thông qua các hoạt động phát triển cá nhân. Rất nhiều hoạt động workshop, hội thảo, chia sẻ kinh nghiệm, kiến thức được tổ chức thường xuyên. Bên cạnh học thuật, sinh viên được tham gia những hoạt động trải nghiệm, khám phá văn hóa, thể dục thể thao.",367
81,82,Thiện,Chung,Các tiện ích trong trường có nhiều không ?,"Trường Đại học FPT nổi tiếng với lối kiến trúc xanh và không gian mở, lối kiến trúc này được áp dụng cho toàn bộ các campus của Đại học FPT khắp Việt Nam. 
Toàn bộ phòng học tại trường Đại học FPT đều được trang bị điều hòa mát lạnh và máy chiếu phục vụ tối đa việc học tập của sinh viên. Trong khuôn viên trường còn có các cửa hàng ăn uống như: 7-Eleven, Passio… cung cấp nhu yếu phẩm chất lượng, đem lại tiện nghi cho đời sống hàng ngày của sinh viên.",119
82,83,Thiện,Chung,Em muốn sau khi tốt nghiệp sẽ làm một startup thì FPT có giúp gì được không ?,"Tại Đại học FPT có không gian được xem là “cái nôi” sản sinh ra những ý tưởng khởi nghiệp, đó là Innovation Space. Đây là không gian được xây dựng tại Đại học FPT giúp sinh viên phát huy tiềm năng sáng tạo và khởi nghiệp, từ đây đã xuất hiện nhiều gương mặt start-up triệu đô nổi tiếng như: Nguyễn Thế Vinh - Founder Coin98 Finance (Cựu sinh viên ngành Kỹ thuật phần mềm ĐH FPT), Trung Nguyễn - CEO công ty Sky Mavis, tỷ phú USD ở tuổi 29 ((Cựu sinh viên ngành Kỹ thuật phần mềm ĐH FPT)... Ngoài ra, các bạn sinh viên còn có thể tham gia nhiều cuộc thi như: FPT Hackathon, ACM/ICPC, FPT Edu Research Festival, FPT Edu Biz Talent, Hult Prize…để trình bày giải pháp phát triển kinh tế, sáng kiến công nghệ, sáng kiến quản trị doanh nghiệp, trao đổi thuyết phục trực tiếp với các doanh nhân và nhà đầu tư về sản phẩm/ý tưởng mô hình kinh doanh…",365
83,84,Thiện,Chung,Cho em hỏi tại FPT có các CLB theo sở thích của SV không ?,"Tại trường Đại học FPT, có hơn 40 câu lạc bộ do sinh viên điều hành và dẫn dắt bởi mentor là những giảng viên dày dạn kinh nghiệm. Chương trình câu lạc bộ mang đến cho các bạn cơ hội xây dựng mạng lưới mối quan hệ vững mạnh, phát triển nền tảng chuyên môn và các kỹ năng như làm việc nhóm, giao tiếp, lãnh đạo. 

 Riêng đối với sinh viên đam mê và quan tâm lĩnh vực CN, các bạn có thể tham gia: 
 - Hardware Network FPTU – HNF 
 - F-Code 
 - Developer Student Community - FPT University HCMC
 - FPT Information Assurance Club – FIA ",36
84,85,Thiện,Chung,Em có biết về kì thi học bổng của trường mình. Vậy điều kiện tham gia là gì và làm thế nào để được tuyển thẳng học bổng ?,"Kỳ thi Học bổng Đại học FPT là Kỳ thi thường niên đầu khóa dành cho Tân sinh viên với mục đích tìm kiếm, thu hút và bồi dưỡng nhân tài. Hàng trăm suất học bổng đầu vào được trao tặng cho sinh viên năm nhất ở tất cả các ngành học của Đại học FPT hằng năm. 

Kỳ thi Học bổng được xem là sân chơi trí tuệ dành cho TOP 30 Schoolrank (tương đương 30% học sinh lớp 12 có năng lực học tập tốt nhất cả nước) theo xếp hạng SchoolRank - công cụ đánh giá năng lực học tập của học sinh THPT toàn quốc. Vượt qua kỳ thi, thí sinh có thể mang về cho mình những suất học bổng từ 10%, 30%, 50%, 70% đến 100% học phí có giá trị suốt 04 năm học tại Đại học FPT.

Dựa vào điểm thi của thí sinh mỗi mùa, nhà trường cấp Học bổng tương ứng ở đa dạng các mức: 30%, 50%, 70% đến 100%, tạo cơ hội cho thí sinh đạt Học bổng ở nhiều hạng mức điểm thi.",333
85,86,Thiện,Chung,Kì thi học bổng năm nay có bao nhiêu suất tham dự ?,Là 1000 suất toàn phần nha bạn,470
86,87,Thiện,Chung,Nếu không đủ điều kiện trong top 30 SchoolRank thì sao ạ ?,"Bạn có thể tham dự kì thi học bổng nha. Năm 2023 thì thông tin dự thi như sau:
THÔNG TIN KỲ THI:
• Lịch thi (dự kiến): 7:00 -12:00 ngày 07/05/2023
• Địa điểm thi: Trường Đại học FPT - Đường D1, Khu Công nghệ cao, TP. Thủ Đức, TP. HCM
• Cấu trúc đề thi:
🔹 Bài thi 1: Tư duy logic, 90 câu (120 phút)
🔹 Bài thi 2: Nghị luận xã hội (60 phút)
Bạn có thể tham khảo chi tiết nha:
{https://hcmuni.fpt.edu.vn/ky-thi-hoc-bong-dai-hoc-fpt-san-choi-tri-tue-danh-cho-30-hs-lop-12-co-nang-luc-hoc-tap-tot-nhat-ca-nuoc-nam-2023}",575
